::ffff:192.168.2.57 - - [23/Sep/2020:02:39:50 +0000] "OPTIONS /user/get?userId=1 HTTP/1.1" 200 2 "http://192.168.2.57:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:39:50 +0000] "GET /user/get?userId=1 HTTP/1.1" 304 - "http://192.168.2.57:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:51:31 +0000] "OPTIONS /user/get?userId=1 HTTP/1.1" 200 2 "http://192.168.2.57:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:53:15 +0000] "OPTIONS /login HTTP/1.1" 200 2 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:53:15 +0000] "POST /login HTTP/1.1" 200 58 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:53:41 +0000] "OPTIONS /login HTTP/1.1" 200 2 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:53:41 +0000] "POST /login HTTP/1.1" 200 203 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:53:41 +0000] "OPTIONS /user/get?userId=1 HTTP/1.1" 200 2 "http://192.168.2.57:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:53:41 +0000] "GET /user/get?userId=1 HTTP/1.1" 304 - "http://192.168.2.57:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:57:47 +0000] "OPTIONS /login HTTP/1.1" 200 2 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:57:47 +0000] "POST /login HTTP/1.1" 200 203 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:57:47 +0000] "OPTIONS /user/get?userId=1 HTTP/1.1" 200 2 "http://192.168.2.57:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:57:47 +0000] "GET /user/get?userId=1 HTTP/1.1" 304 - "http://192.168.2.57:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:59:29 +0000] "OPTIONS /login HTTP/1.1" 200 2 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:02:59:37 +0000] "POST /login HTTP/1.1" - - "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:192.168.2.57 - - [23/Sep/2020:03:05:22 +0000] "OPTIONS /login HTTP/1.1" 200 2 "http://192.168.2.57:6006/login" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
